issuing_bank_name,issuing_bank_address,issuing_bank_swift,issuing_bank_tel,issuing_bank_account_number,issuing_bank_account_name,issuing_bank_officer,issuing_bank_officer_contact,confirming_bank_name,confirming_bank_address,confirming_bank_swift,confirming_bank_tel,confirming_bank_account_number,confirming_bank_account_name,confirming_bank_officer,confirming_bank_officer_contact,buyer_signatory_name,buyer_signatory_position,buyer_signatory_date,buyer_signature,seller_signatory_name,seller_signatory_position,seller_signatory_date,seller_signature
Emirates National Bank,"105 Finance Ave, New York, Turkey",EMIRUSXX,+787-3104756,94473479,Hassan Brown,Michael Ivanov,+44-492223151,EuroCommerce Bank AG,"98 Trade Tower, Abu Dhabi, India",EUROSGXX,+976-4109180,65639823,Sarah Ivanov,Sophia Haddad,+44-387602374,Hassan Brown,Trade Director,2025-03-21,Signed Electronically,Sarah Ivanov,Sales Director,2025-03-24,Signed Electronically
Standard Chartered,"153 Finance Ave, Cairo, USA",STANSGXX,+248-4702613,60379396,David Smith,James Khan,+44-417745606,HSBC,"139 Trade Tower, Istanbul, UAE",HSBCDEXX,+941-1073486,88399103,Laura Ibrahim,Laura Lee,+971-980291733,David Smith,CEO,2025-01-09,Signed Electronically,Laura Ibrahim,Sales Director,2025-01-14,Signed Electronically
Singapore Intercontinental Bank,"142 Finance Ave, Geneva, Japan",SINGGBXX,+553-3539185,49897580,Ali Brown,Emma Nakamura,+1-711407909,Deutsche Bank,"21 Trade Tower, Dubai, Turkey",DEUTSGXX,+210-4394239,98474130,Ahmed Brown,Michael Diop,+65-184345453,Ali Brown,CEO,2025-07-08,Signed Electronically,Ahmed Brown,Export Manager,2025-07-09,Signed Electronically
Standard Chartered,"91 Finance Ave, Dubai, Netherlands",STANUSXX,+349-5658515,69555561,Fatima Diop,Yuki Martinez,+65-414625573,Emirates National Bank,"66 Trade Tower, Doha, Qatar",EMIRGBXX,+636-7227831,49693504,Emma Diop,Sophia Nakamura,+44-896817595,Fatima Diop,CEO,2025-07-20,Signed Electronically,Emma Diop,Export Manager,2025-07-24,Signed Electronically
Emirates National Bank,"145 Finance Ave, Houston, Qatar",EMIRDEXX,+117-5206531,30637310,James Garcia,Fatima Ibrahim,+44-755997803,First Global Bank & Trust,"65 Trade Tower, Tokyo, Egypt",FIRSSGXX,+732-1017592,33359354,Ahmed Chen,Maria Costa,+1-138603770,James Garcia,Trade Director,2025-05-13,Signed Electronically,Ahmed Chen,Managing Director,2025-05-14,Signed Electronically
HSBC,"131 Finance Ave, Houston, Germany",HSBCUSXX,+550-5290968,57715322,Fatima Diop,Sophia Singh,+971-929796035,Emirates National Bank,"38 Trade Tower, Geneva, Turkey",EMIRAEXX,+538-5427221,27741153,John Petrov,Sarah Martinez,+65-785381258,Fatima Diop,CEO,2025-04-26,Signed Electronically,John Petrov,Managing Director,2025-04-28,Signed Electronically
Emirates National Bank,"120 Finance Ave, Hong Kong, Turkey",EMIRDEXX,+543-6363448,38482591,Nadia Haddad,Sophia Muller,+971-127303926,BNP Paribas,"90 Trade Tower, New York, Japan",BNPAEXX,+408-8508236,35049634,Michael Ibrahim,Laura Fernandez,+1-497634347,Nadia Haddad,CEO,2025-08-26,Signed Electronically,Michael Ibrahim,Sales Director,2025-08-31,Signed Electronically
First Global Bank & Trust,"176 Finance Ave, Geneva, UK",FIRSSGXX,+585-9720496,45936271,Sarah Johnson,Yuki Ibrahim,+971-982768654,Deutsche Bank,"197 Trade Tower, Geneva, USA",DEUTAEXX,+499-8853980,95460711,Ahmed Ibrahim,Fatima Petrov,+1-114527040,Sarah Johnson,Trade Director,2024-11-13,Signed Electronically,Ahmed Ibrahim,Sales Director,2024-11-14,Signed Electronically
Deutsche Bank,"197 Finance Ave, Hamburg, Netherlands",DEUTGBXX,+252-7464986,47330615,Maria Lee,Ahmed Johnson,+1-185463827,BNP Paribas,"120 Trade Tower, Istanbul, China",BNPUSXX,+963-6766528,33935707,John Smith,Yuki Williams,+44-401187394,Maria Lee,Managing Partner,2025-02-18,Signed Electronically,John Smith,Sales Director,2025-02-23,Signed Electronically
Deutsche Bank,"153 Finance Ave, Abu Dhabi, UAE",DEUTSGXX,+733-2546974,72519730,Laura Nakamura,Hassan Khan,+971-278167235,Emirates National Bank,"52 Trade Tower, Hong Kong, USA",EMIRUSXX,+815-9731946,26946546,Ahmed Costa,Hassan Costa,+971-406334414,Laura Nakamura,Trade Director,2025-01-18,Signed Electronically,Ahmed Costa,Sales Director,2025-01-19,Signed Electronically
Union Credit Suisse,"58 Finance Ave, Hamburg, Switzerland",UNIOAEXX,+587-3224117,67721817,Ahmed Brown,Nadia Garcia,+65-637507759,EuroCommerce Bank AG,"189 Trade Tower, Doha, Singapore",EUROAEXX,+464-5126419,51198108,Laura Khan,Ravi Nakamura,+65-720551237,Ahmed Brown,Trade Director,2025-01-30,Signed Electronically,Laura Khan,Export Manager,2025-01-31,Signed Electronically
Citibank,"19 Finance Ave, Hamburg, UAE",CITIGBXX,+918-6512876,16957572,Sarah Martinez,Ahmed Ivanov,+44-365720401,Deutsche Bank,"22 Trade Tower, Tokyo, USA",DEUTUSXX,+512-1131320,88348021,Laura Lee,Ali Muller,+44-746816759,Sarah Martinez,Trade Director,2025-03-08,Signed Electronically,Laura Lee,Sales Director,2025-03-13,Signed Electronically
First Global Bank & Trust,"45 Finance Ave, Hamburg, Egypt",FIRSDEXX,+809-6356965,82432260,Linda Costa,George Brown,+1-485057061,Citibank,"145 Trade Tower, Rotterdam, Netherlands",CITIAEXX,+959-8391106,80370011,Linda Garcia,Sophia Nakamura,+44-952841467,Linda Costa,Managing Partner,2024-12-13,Signed Electronically,Linda Garcia,Sales Director,2024-12-16,Signed Electronically
Citibank,"155 Finance Ave, Hamburg, Singapore",CITIAEXX,+165-9495742,32463693,Fatima Muller,Sarah Martinez,+65-359987665,Citibank,"82 Trade Tower, Dubai, Netherlands",CITISGXX,+479-8462647,63599642,Sarah Lee,Yuki Garcia,+1-567473104,Fatima Muller,Managing Partner,2025-01-13,Signed Electronically,Sarah Lee,Sales Director,2025-01-18,Signed Electronically
Citibank,"188 Finance Ave, Singapore, China",CITIUSXX,+716-1632321,49601563,Ali Chen,Sophia Petrov,+1-386622364,HSBC,"17 Trade Tower, Dubai, Egypt",HSBCGBXX,+858-4605398,31961055,Omar Ibrahim,Yuki Petrov,+65-174915759,Ali Chen,CEO,2024-12-08,Signed Electronically,Omar Ibrahim,Export Manager,2024-12-10,Signed Electronically
Union Credit Suisse,"76 Finance Ave, London, USA",UNIOAEXX,+792-3256388,84667608,Yuki Khan,Laura Fernandez,+971-886375563,Standard Chartered,"154 Trade Tower, Houston, UAE",STANAEXX,+139-4162590,69029757,Omar Muller,Michael Garcia,+44-248512823,Yuki Khan,Procurement Manager,2024-11-11,Signed Electronically,Omar Muller,Export Manager,2024-11-13,Signed Electronically
Union Credit Suisse,"96 Finance Ave, Cairo, Japan",UNIOAEXX,+745-1769722,93491253,Ahmed Ivanov,Omar Johnson,+1-436356118,BNP Paribas,"87 Trade Tower, Rotterdam, Qatar",BNPSGXX,+292-7057255,23429909,Hassan Silva,Laura Williams,+44-834644721,Ahmed Ivanov,CEO,2025-03-04,Signed Electronically,Hassan Silva,Sales Director,2025-03-05,Signed Electronically
Standard Chartered,"45 Finance Ave, Singapore, Singapore",STANAEXX,+476-7371559,15086058,Hassan Brown,David Johnson,+1-616896102,EuroCommerce Bank AG,"85 Trade Tower, Houston, Switzerland",EUROAEXX,+780-8069179,96819581,Yuki Nakamura,Fatima Petrov,+44-455761076,Hassan Brown,CEO,2025-09-18,Signed Electronically,Yuki Nakamura,Sales Director,2025-09-22,Signed Electronically
EuroCommerce Bank AG,"41 Finance Ave, Rotterdam, Qatar",EUROSGXX,+485-7356635,83638818,George Petrov,Hassan Ibrahim,+44-118549340,First Global Bank & Trust,"27 Trade Tower, Houston, Turkey",FIRSAEXX,+499-3861136,40183493,Carlos Nakamura,Michael Nakamura,+65-513667062,George Petrov,Procurement Manager,2025-09-03,Signed Electronically,Carlos Nakamura,Export Manager,2025-09-04,Signed Electronically
Union Credit Suisse,"105 Finance Ave, Doha, Singapore",UNIOSGXX,+422-7867588,90591936,Maria Lee,John Haddad,+44-308198448,Singapore Intercontinental Bank,"163 Trade Tower, Abu Dhabi, Switzerland",SINGAEXX,+747-4624629,32235058,Sophia Costa,Ali Ivanov,+44-408414357,Maria Lee,CEO,2024-12-25,Signed Electronically,Sophia Costa,Managing Director,2024-12-29,Signed Electronically
Singapore Intercontinental Bank,"111 Finance Ave, London, Switzerland",SINGUSXX,+218-8519183,44031012,Hassan Muller,George Ibrahim,+1-474774472,EuroCommerce Bank AG,"160 Trade Tower, Dubai, Egypt",EURODEXX,+543-2625737,24483514,Michael Lee,Fatima Ivanov,+44-363301022,Hassan Muller,CEO,2025-04-07,Signed Electronically,Michael Lee,Export Manager,2025-04-12,Signed Electronically
HSBC,"59 Finance Ave, Hamburg, Egypt",HSBCGBXX,+954-3120471,99959105,Yuki Diop,Nadia Williams,+44-107782619,BNP Paribas,"71 Trade Tower, Cairo, Switzerland",BNPDEXX,+150-3871474,78981794,Carlos Brown,Ali Brown,+44-936647935,Yuki Diop,Trade Director,2025-02-21,Signed Electronically,Carlos Brown,Sales Director,2025-02-24,Signed Electronically
Singapore Intercontinental Bank,"124 Finance Ave, Cairo, UK",SINGGBXX,+134-8291195,73322411,Nadia Singh,Yuki Nakamura,+65-228232430,Emirates National Bank,"103 Trade Tower, Mumbai, UAE",EMIRDEXX,+149-3234603,83039643,Maria Brown,Emma Ibrahim,+1-919924653,Nadia Singh,Procurement Manager,2025-01-15,Signed Electronically,Maria Brown,Sales Director,2025-01-18,Signed Electronically
First Global Bank & Trust,"127 Finance Ave, Istanbul, USA",FIRSDEXX,+237-7181974,93922321,Nadia Petrov,John Fernandez,+971-648830861,Emirates National Bank,"40 Trade Tower, Mumbai, UAE",EMIRAEXX,+889-7660787,63231614,Michael Costa,Nadia Chen,+65-143599455,Nadia Petrov,Trade Director,2024-11-03,Signed Electronically,Michael Costa,Export Manager,2024-11-06,Signed Electronically
Singapore Intercontinental Bank,"175 Finance Ave, Hamburg, UAE",SINGSGXX,+570-1556050,87398317,Sophia Diop,Yuki Petrov,+971-885944658,BNP Paribas,"83 Trade Tower, Singapore, Egypt",BNPSGXX,+186-3422185,22750881,David Singh,Carlos Muller,+65-897533567,Sophia Diop,Managing Partner,2025-08-05,Signed Electronically,David Singh,Sales Director,2025-08-10,Signed Electronically
